-16,-16,-16,-12,-2,-6,8,4,8,-4,4,10,12,16,12,4,16,8,-16,-16,-16,-2,4,0,-4,12,4,8,-8,4,18,8,-4,-16,4,-2,10,-16,-16,-16,-2,-8,16,-6,-8,10,16,6,0,8,12,12,16,20,-16,-16,-16,-4,4,-4,-8,4,-2,-4,-4,14,-8,12,-4,4,4,4
-16,-16,-16,-12,-2,-6,8,4,8,-4,4,10,10,12,12,-4,16,8,-16,-16,-16,-2,4,-6,-4,12,4,8,-8,4,12,8,-4,-16,0,-2,4,-16,-16,-16,-2,-8,12,-6,-8,10,12,0,0,6,12,12,14,20,-16,-16,-16,-4,0,-4,-8,0,-2,-4,-4,14,-8,12,-4,2,2,4
-16,-16,-16,-12,-2,-6,8,4,8,-4,4,4,8,6,12,-4,16,8,-16,-16,-16,-2,4,-6,-4,8,4,8,-8,-4,8,8,-4,-16,0,-2,4,-16,-16,-16,-2,-8,8,-6,-8,10,12,-2,0,0,8,12,8,16,-16,-16,-16,-12,0,-4,-8,0,-8,-4,-4,8,-8,8,-4,2,2,4
-16,-16,-16,-12,-2,-6,8,4,6,-4,4,4,6,6,12,-4,16,6,-16,-16,-16,-2,4,-6,-4,4,-8,4,-16,-4,4,8,-4,-16,-2,-8,4,-16,-16,-16,-2,-8,8,-6,-10,10,12,-4,0,0,8,8,4,16,-16,-16,-16,-12,0,-4,-8,0,-8,-4,-4,8,-8,8,-4,2,2,2
-16,-16,-16,-12,-2,-6,0,4,6,-4,4,4,4,0,4,-4,16,6,-16,-16,-16,-2,4,-6,-4,4,-8,4,-16,-4,4,8,-4,-16,-2,-8,4,-16,-16,-16,-2,-8,4,-6,-10,10,12,-4,0,0,8,8,0,14,-16,-16,-16,-12,0,-4,-8,0,-8,-4,-6,6,-8,6,-4,2,2,-4
-16,-16,-16,-12,-2,-12,0,-6,4,-4,4,-6,4,0,4,-4,12,6,-16,-16,-16,-12,-8,-12,-4,4,-8,0,-16,-8,-2,8,-4,-16,-2,-8,4,-16,-16,-16,-2,-8,4,-6,-10,10,12,-8,-8,0,8,4,0,12,-16,-16,-16,-12,-6,-4,-8,0,-8,-4,-6,6,-8,4,-4,2,2,-4
-16,-16,-16,-12,-2,-12,0,-6,4,-4,4,-6,4,0,-2,-4,12,6,-16,-16,-16,-12,-10,-12,-4,4,-8,0,-16,-8,-2,4,-4,-16,-2,-8,4,-16,-16,-16,-2,-8,2,-6,-10,8,8,-8,-8,0,-4,4,0,12,-16,-16,-16,-12,-6,-4,-8,0,-8,-4,-6,0,-8,4,-4,2,2,-4
-16,-16,-16,-12,-2,-12,0,-12,4,-4,4,-8,2,0,-2,-4,12,6,-16,-16,-16,-16,-10,-12,-4,4,-8,0,-16,-8,-4,4,-4,-16,-2,-8,0,-16,-16,-16,-2,-8,2,-12,-10,8,0,-8,-8,0,-8,2,-4,12,-16,-16,-16,-12,-6,-4,-8,0,-8,-4,-8,0,-8,4,-4,0,2,-4
-16,-16,-16,-12,-8,-12,-4,-12,-4,-10,-2,-8,2,0,-4,-4,12,4,-16,-16,-16,-16,-10,-12,-4,0,-8,0,-16,-8,-4,4,-4,-16,-2,-8,0,-16,-16,-16,-2,-8,0,-12,-10,8,-6,-8,-8,0,-8,0,-4,12,-16,-16,-16,-12,-6,-4,-8,0,-8,-4,-8,0,-8,4,-4,0,-4,-4
-16,-16,-16,-12,-8,-12,-4,-12,-4,-10,-2,-8,2,0,-4,-4,6,4,-16,-16,-16,-16,-10,-12,-4,0,-8,0,-16,-8,-4,4,-4,-16,-2,-8,0,-16,-16,-16,-2,-16,0,-12,-10,8,-6,-8,-8,0,-8,-2,-4,6,-16,-16,-16,-12,-12,-4,-8,-4,-8,-4,-8,-4,-8,4,-4,-4,-4,-4
